season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,head_coach_change,team_changed,two_year_available,role_change_category
2024,Khalil Herbert,CIN,136.400000,31.500000,6.300000,-65.149856,-46.201602,0.001826,0.031525,-0.019225,-0.032581,-0.253333,0.030303,-0.024845,-0.438095,-0.136667,0,1,1,DECLINING
2024,Devin Singletary,NYG,87.900000,100.600000,6.706667,-44.995609,-25.188236,0.023714,-0.027419,-0.028404,-0.069591,-0.144201,-0.137887,-0.239130,-0.480519,-0.144201,1,1,1,DECLINING
2023,Chuba Hubbard,CAR,160.700000,182.500000,10.735294,120.230136,124.029921,-0.102194,-0.024294,-0.120000,-0.097953,-0.179654,-0.208814,-0.250000,-0.488889,0.251082,0,0,1,DECLINING
2025,Travis Etienne Jr.,NO,101.200000,253.900000,14.935294,123.614377,139.833545,-0.133159,-0.021373,-0.277465,-0.264286,-0.391775,-0.412121,-0.425882,-0.518382,0.261905,0,1,1,DECLINING
2022,Clyde Edwards-Helaire,KC,54.300000,98.300000,10.922222,-88.759321,-91.523302,-0.108766,-0.050330,-0.279487,-0.274510,-0.380000,-0.391215,-0.456012,-0.542308,0.393333,0,0,1,DECLINING
2025,Christian McCaffrey,SF,8.000000,414.600000,24.388235,193.688691,214.065212,-0.336651,-0.139256,-0.548341,-0.589286,-0.494929,-0.640045,-0.654359,-0.573071,0.045639,0,0,1,DECLINING
2025,Isiah Pacheco,DET,66.800000,87.300000,6.715385,-76.435447,-47.412589,-0.192566,-0.053928,-0.529564,-0.552419,-0.607143,-0.627972,-0.585249,-0.594286,0.464286,0,1,1,DECLINING
2022,Miles Sanders,PHI,61.700000,220.700000,12.982353,41.371091,45.416799,-0.070883,-0.019524,-0.216088,-0.277640,-0.400909,-0.329167,-0.446667,-0.597723,0.095455,1,0,1,DECLINING
2025,Austin Ekeler,FA,84.300000,13.100000,6.550000,-133.618822,-110.882332,-0.149836,-0.039617,-0.249669,-0.369154,-0.441077,-0.347038,-0.511586,-0.624714,0.208754,1,1,1,DECLINING
2025,Rachaad White,WAS,138.400000,143.000000,8.411765,48.886861,41.285625,-0.208375,-0.025697,-0.432775,-0.450476,-0.425641,-0.578852,-0.657895,-0.666667,0.300000,0,1,1,DECLINING
2024,Nick Chubb,CLE,65.000000,65.300000,8.162500,-103.406078,-95.650294,-0.349593,-0.066157,-0.486538,-0.514936,-0.619048,-0.570028,-0.573864,-0.722222,0.241905,0,0,1,DECLINING
